timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-10,202.225,206.2,192.89,196.89,196.89,204754129,0.0000,1.0
2023-02-09,207.775,214.0,204.77,207.32,207.32,215431442,0.0000,1.0
2023-02-08,196.1,203.0,194.31,201.29,201.29,180673644,0.0000,1.0
2023-02-07,196.43,197.5,189.55,196.81,196.81,186010325,0.0000,1.0
2023-02-06,193.01,198.17,189.92,194.76,194.76,186188131,0.0000,1.0
2023-02-03,183.95,199.0,183.69,189.98,189.98,232662023,0.0000,1.0
2023-02-02,187.325,196.7501,182.61,188.27,188.27,217448287,0.0000,1.0
2023-02-01,173.89,183.805,169.93,181.41,181.41,213806323,0.0000,1.0
2023-01-31,164.57,174.3,162.78,173.22,173.22,196813541,0.0000,1.0
2023-01-30,178.05,179.77,166.5,166.66,166.66,230878807,0.0000,1.0
2023-01-27,162.43,180.68,161.17,177.9,177.9,306590613,0.0000,1.0
2023-01-26,159.965,161.42,154.76,160.27,160.27,234815090,0.0000,1.0
2023-01-25,141.905,146.41,138.07,144.43,144.43,192734347,0.0000,1.0
2023-01-24,143.0,146.5,141.1,143.89,143.89,158699056,0.0000,1.0
2023-01-23,135.87,145.3793,134.27,143.75,143.75,203119211,0.0000,1.0
2023-01-20,128.68,133.51,127.3466,133.42,133.42,138858136,0.0000,1.0
2023-01-19,127.26,129.99,124.3082,127.17,127.17,170291880,0.0000,1.0
2023-01-18,136.555,136.68,127.01,128.78,128.78,195680318,0.0000,1.0
2023-01-17,125.695,131.7,125.02,131.49,131.49,186476985,0.0000,1.0
2023-01-13,116.55,122.63,115.6,122.4,122.4,180714119,0.0000,1.0
2023-01-12,122.56,124.1311,117.0,123.56,123.56,169400913,0.0000,1.0
2023-01-11,122.09,125.95,120.51,123.22,123.22,183810771,0.0000,1.0
2023-01-10,121.07,122.76,114.92,118.85,118.85,167642485,0.0000,1.0
2023-01-09,118.96,123.52,117.11,119.77,119.77,190283951,0.0000,1.0
